,Unnamed: 0,Application,Images,Epochs,Batchsize,Jobs,GpuType,GpuNumber,ExecutionTime,min,max,Memory
52,52,pytorch_alexnet,130000,1500,256,J10,GTX 1080Ti,6,226724.565,22023.70207,619154.6944,6
53,53,pytorch_alexnet,130000,1500,256,J10,M60,6,199732.7996,22023.70207,619154.6944,6
54,54,pytorch_alexnet,130000,1500,256,J10,K80,6,175296.1138,22023.70207,619154.6944,6
55,55,pytorch_alexnet,130000,1500,256,J10,Quadro P600,6,175296.1138,22023.70207,619154.6944,6
56,56,pytorch_alexnet,130000,1500,256,J10,GTX 1080Ti,7,221469.2317,22023.70207,619154.6944,6
57,57,pytorch_alexnet,130000,1500,256,J10,M60,7,188306.7949,22023.70207,619154.6944,6
58,58,pytorch_alexnet,130000,1500,256,J10,K80,7,158283.5624,22023.70207,619154.6944,6
59,59,pytorch_alexnet,130000,1500,256,J10,Quadro P600,7,158283.5624,22023.70207,619154.6944,6
60,60,pytorch_alexnet,130000,1500,256,J10,GTX 1080Ti,8,215725.8926,22023.70207,619154.6944,6
61,61,pytorch_alexnet,130000,1500,256,J10,M60,8,176585.5768,22023.70207,619154.6944,6
62,62,pytorch_alexnet,130000,1500,256,J10,K80,8,141150.3399,22023.70207,619154.6944,6
63,63,pytorch_alexnet,130000,1500,256,J10,Quadro P600,8,141150.3399,22023.70207,619154.6944,6
64,64,pytorch_alexnet,130000,1500,512,J11,GTX 1080Ti,1,193850.0637,101555.1174,588961.216,8
65,65,pytorch_alexnet,130000,1500,512,J11,M60,1,252695.32880569037,101555.1174,588961.216,8
66,66,pytorch_alexnet,130000,1500,512,J11,K80,1,241702.6286,101555.1174,588961.216,8
67,67,pytorch_alexnet,130000,1500,512,J11,Quadro P600,1,588961.216,101555.1174,588961.216,8
68,68,pytorch_alexnet,130000,1500,512,J11,GTX 1080Ti,2,225651.9403,101555.1174,588961.216,8
69,69,pytorch_alexnet,130000,1500,512,J11,M60,2,236978.98074827087,101555.1174,588961.216,8
70,70,pytorch_alexnet,130000,1500,512,J11,K80,2,231829.4436,101555.1174,588961.216,8
71,71,pytorch_alexnet,130000,1500,512,J11,Quadro P600,2,276658.6203,101555.1174,588961.216,8
72,72,pytorch_alexnet,130000,1500,512,J11,GTX 1080Ti,3,230432.0929,101555.1174,588961.216,8
73,73,pytorch_alexnet,130000,1500,512,J11,M60,3,222240.1086,101555.1174,588961.216,8
74,74,pytorch_alexnet,130000,1500,512,J11,K80,3,214823.5894,101555.1174,588961.216,8
75,75,pytorch_alexnet,130000,1500,512,J11,Quadro P600,3,101555.1174,101555.1174,588961.216,8
76,76,pytorch_alexnet,130000,1500,512,J11,GTX 1080Ti,4,228456.8146,101555.1174,588961.216,8
77,77,pytorch_alexnet,130000,1500,512,J11,M60,4,211440.2866,101555.1174,588961.216,8
78,78,pytorch_alexnet,130000,1500,512,J11,K80,4,196034.5678,101555.1174,588961.216,8
79,79,pytorch_alexnet,130000,1500,512,J11,Quadro P600,4,196034.5678,101555.1174,588961.216,8
80,80,pytorch_alexnet,130000,1500,512,J11,GTX 1080Ti,5,223779.3639,101555.1174,588961.216,8
81,81,pytorch_alexnet,130000,1500,512,J11,M60,5,198982.1516,101555.1174,588961.216,8
82,82,pytorch_alexnet,130000,1500,512,J11,K80,5,176532.2793,101555.1174,588961.216,8
83,83,pytorch_alexnet,130000,1500,512,J11,Quadro P600,5,176532.2793,101555.1174,588961.216,8
84,84,pytorch_alexnet,130000,1500,512,J11,GTX 1080Ti,6,217750.8269,101555.1174,588961.216,8
85,85,pytorch_alexnet,130000,1500,512,J11,M60,6,185694.86,101555.1174,588961.216,8
86,86,pytorch_alexnet,130000,1500,512,J11,K80,6,156673.3573,101555.1174,588961.216,8
87,87,pytorch_alexnet,130000,1500,512,J11,Quadro P600,6,156673.3573,101555.1174,588961.216,8
88,88,pytorch_alexnet,130000,1500,512,J11,GTX 1080Ti,7,210950.2407,101555.1174,588961.216,8
89,89,pytorch_alexnet,130000,1500,512,J11,M60,7,171933.7647,101555.1174,588961.216,8
90,90,pytorch_alexnet,130000,1500,512,J11,K80,7,136610.6447,101555.1174,588961.216,8
91,91,pytorch_alexnet,130000,1500,512,J11,Quadro P600,7,136610.6447,101555.1174,588961.216,8
92,92,pytorch_alexnet,130000,1500,512,J11,GTX 1080Ti,8,203667.1237,101555.1174,588961.216,8
93,93,pytorch_alexnet,130000,1500,512,J11,M60,8,157876.5421,101555.1174,588961.216,8
94,94,pytorch_alexnet,130000,1500,512,J11,K80,8,116420.5631,101555.1174,588961.216,8
95,95,pytorch_alexnet,130000,1500,512,J11,Quadro P600,8,116420.5631,101555.1174,588961.216,8
96,96,pytorch_alexnet,130000,1500,1024,J12,GTX 1080Ti,1,193540.4111,77841.89228,574229.1548,12
97,97,pytorch_alexnet,130000,1500,1024,J12,M60,1,252831.9356686178,77841.89228,574229.1548,12
98,98,pytorch_alexnet,130000,1500,1024,J12,K80,1,239646.2542,77841.89228,574229.1548,12
99,99,pytorch_alexnet,130000,1500,1024,J12,Quadro P600,1,574229.1548,77841.89228,574229.1548,12
100,100,pytorch_alexnet,130000,1500,1024,J12,GTX 1080Ti,2,224353.0432,77841.89228,574229.1548,12
101,101,pytorch_alexnet,130000,1500,1024,J12,M60,2,235161.51236579104,77841.89228,574229.1548,12
102,102,pytorch_alexnet,130000,1500,1024,J12,K80,2,228518.5733,77841.89228,574229.1548,12
103,103,pytorch_alexnet,130000,1500,1024,J12,Quadro P600,2,258747.1741,77841.89228,574229.1548,12
104,104,pytorch_alexnet,130000,1500,1024,J12,GTX 1080Ti,3,228289.1615,77841.89228,574229.1548,12
105,105,pytorch_alexnet,130000,1500,1024,J12,M60,3,218726.0749,77841.89228,574229.1548,12
106,106,pytorch_alexnet,130000,1500,1024,J12,K80,3,210068.244,77841.89228,574229.1548,12
107,107,pytorch_alexnet,130000,1500,1024,J12,Quadro P600,3,77841.89228,77841.89228,574229.1548,12
108,108,pytorch_alexnet,130000,1500,1024,J12,GTX 1080Ti,4,225506.1513,77841.89228,574229.1548,12
109,109,pytorch_alexnet,130000,1500,1024,J12,M60,4,206759.4049,77841.89228,574229.1548,12
110,110,pytorch_alexnet,130000,1500,1024,J12,K80,4,189787.2526,77841.89228,574229.1548,12
111,111,pytorch_alexnet,130000,1500,1024,J12,Quadro P600,4,189787.2526,77841.89228,574229.1548,12
112,112,pytorch_alexnet,130000,1500,1024,J12,GTX 1080Ti,5,220035.4897,77841.89228,574229.1548,12
113,113,pytorch_alexnet,130000,1500,1024,J12,M60,5,193131.3507,77841.89228,574229.1548,12
114,114,pytorch_alexnet,130000,1500,1024,J12,K80,5,168773.9964,77841.89228,574229.1548,12
115,115,pytorch_alexnet,130000,1500,1024,J12,Quadro P600,5,168773.9964,77841.89228,574229.1548,12
116,116,pytorch_alexnet,130000,1500,1024,J12,GTX 1080Ti,6,213221.0024,77841.89228,574229.1548,12
117,117,pytorch_alexnet,130000,1500,1024,J12,M60,6,178672.6045,77841.89228,574229.1548,12
118,118,pytorch_alexnet,130000,1500,1024,J12,K80,6,147394.6078,77841.89228,574229.1548,12
119,119,pytorch_alexnet,130000,1500,1024,J12,Quadro P600,6,147394.6078,77841.89228,574229.1548,12
120,120,pytorch_alexnet,130000,1500,1024,J12,GTX 1080Ti,7,205638.6147,77841.89228,574229.1548,12
